id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4441996,ParcelBox,True,2025-05-04T15:53:50.88,PBOX HVV Dlouhá třída (OC),Free,49.775506111,18.450683305
4442021,ParcelBox,True,2025-05-04T10:13:46.9,PBOX ZNS Bratří Čapků (Bala),Free,49.563188611,15.946509388
4445468,ParcelBox,True,2025-05-04T14:33:51.737,PBOX DME Mánesova (Družba),Free,49.445366888,12.927449694
4445470,ParcelBox,True,2025-05-04T16:13:55.477,PBOX BOR Nám.republiky (Potravin),Free,49.712540305,12.773684694
4447573,ParcelBox,True,2025-05-04T12:34:00.763,PBOX BRN Kroupova (Nonstop),Free,49.165531888,16.561896694
4448494,ParcelBox,True,2025-05-03T10:33:58.427,PBOX JNR Komenského (COOP HB),Free,49.094976111,15.890498111
4449200,ParcelBox,True,2025-05-02T22:54:02,PBOX HUN Sadová (COOP),Free,49.309914694,17.475878888
4449211,ParcelBox,True,2025-05-04T17:13:50.907,PBOX JIH Březinova (ALBERT),Free,49.402228611,15.601715805
4450249,ParcelBox,True,2025-05-04T16:13:57.19,PBOX LKN Seifertova (Konzum),Free,49.915304972,16.611225833
4452846,ParcelBox,True,2025-05-02T23:34:08.83,PBOX PRG Čerpadlová (Kuchyně),Free,50.101134194,14.507791388
4452851,ParcelBox,True,2025-05-03T17:13:53.077,PBOX DEC Slovanská (WINmart),Free,50.772938305,14.185516888
4452852,ParcelBox,True,2025-05-03T07:14:04.193,PBOX VSN Školní (MOVSET),Free,49.339879194,17.989511111
4452853,ParcelBox,True,2025-05-04T15:13:50.617,PBOX VSN Jasenická (HRUŠK772),Free,49.334408305,18.012837194
4452859,ParcelBox,True,2025-05-04T10:53:54.243,PBOX TNO Mostecká (Pepco),Free,50.148476694,16.068105
4453014,ParcelBox,True,2025-05-03T16:33:56.47,PBOX PCE Jiřího Potůčka (INBEG),Free,50.051607194,15.754184694
4453166,ParcelBox,True,2025-05-04T16:54:01.317,PBOX PRG U Elektry (Trhy),Free,50.101798888,14.519595305
4453578,ParcelBox,True,2025-05-04T11:13:55.197,PBOX BRN Kaštanová (Makro),Free,49.162266111,16.639301888
4453581,ParcelBox,True,2025-05-02T17:34:00,PBOX PRG Chlumecká (Makro),Free,50.111911111,14.578148305
4453582,ParcelBox,True,2025-05-03T18:13:55.967,PBOX HKR Rovná (Makro),Free,50.179570305,15.801545
4453583,ParcelBox,True,2025-05-03T17:53:59.737,PBOX UNL Žižkova (Makro),Free,50.651111111,14.012222194
4453584,ParcelBox,True,2025-05-04T09:13:52.467,PBOX OLO Olomoucká (Makro),Free,49.591388805,17.3380555
4453586,ParcelBox,True,2025-05-03T03:53:53.713,PBOX CBE Hrdějovice (Makro),Free,49.016470805,14.491637805
4453587,ParcelBox,True,2025-05-03T14:54:02.687,PBOX ZLN Třída 3.května (Makro),Free,49.204063888,17.564465
4453588,ParcelBox,True,2025-05-04T16:33:58.997,PBOX KVA Obchodní (Makro),Free,50.218611111,12.8025
4454145,ParcelBox,True,2025-05-03T15:13:56.07,PBOX UNO Dukelská (Obchod),Free,49.966620611,16.409729388
4454146,ParcelBox,True,2025-05-04T14:53:49.77,PBOX BRN Obřanská (Hala),Free,49.222230305,16.642718611
4455105,ParcelBox,True,2025-05-04T09:33:56.963,PBOX OST Kpt.Vajdy (hotel),Free,49.791626694,18.2464975
4455107,ParcelBox,True,2025-05-02T09:29:44.747,PBOX OST U Studia (ubytovna),Free,49.800864194,18.235209694
4455108,ParcelBox,True,2025-05-04T13:13:59.7,PBOX CTN Jablůnkovská (poliklin),Free,49.731988111,18.619823305
4455109,ParcelBox,True,2025-05-03T08:53:57.527,PBOX NJA Na Malině (Hotel),Free,49.164473611,17.5180125
4455110,ParcelBox,True,2025-05-04T16:14:04.44,PBOX ZLN Tř. Svobody (U Albert),Free,49.205348111,17.583978888
4455111,ParcelBox,True,2025-05-02T18:54:24.493,PBOX KAR Tř.17.listopa (Prior),Free,49.856040305,18.540821694
4455112,ParcelBox,True,2025-05-04T12:13:55.413,PBOX OLA Masaryk.třída (Prior),Free,49.870904388,18.425684694
4455113,ParcelBox,True,2025-05-03T15:53:57.677,PBOX TNC Dukelská (Prior),Free,49.666861888,18.677911111
