id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note
4495348,ParcelBox,True,2025-05-03T16:54:17.857,PBOX TRV Sobotecká (Restaura),Free,50.580067805,15.151795611,PBOX,TRV,Sobotecká,Restaura
4495764,ParcelBox,True,2025-05-02T09:35:32.07,PBOX BIA 5.května (Automyčk),Free,50.544986111,13.769185305,PBOX,BIA,5.května,Automyčk
4496072,ParcelBox,True,2025-05-04T15:14:17.613,PBOX STN Hlavní (Obec),Free,49.912751388,18.009475305,PBOX,STN,Hlavní,Obec
4496077,ParcelBox,True,2025-05-04T16:34:25.04,PBOX BHM Okružní (HRUŠKA),Free,49.9020775,18.350886111,PBOX,BHM,Okružní,HRUŠKA
4496078,ParcelBox,True,2025-05-03T13:54:20.707,PBOX BRE Březnice (Úřad),Free,49.185730305,17.660265805,PBOX,BRE,Březnice,Úřad
4496080,ParcelBox,True,2025-05-04T10:54:21.247,PBOX VZE čtvrť A. Háby (potravin),Free,49.221271888,17.847675305,PBOX,VZE,čtvrť A. Háby,potravin
4496220,ParcelBox,True,2025-05-04T06:34:12.337,PBOX BOC 17.listopadu (HRUŠK646),Free,49.760182805,18.017383888,PBOX,BOC,17.listopadu,HRUŠK646
4496222,ParcelBox,True,2025-05-04T12:14:17.963,PBOX HOV TÁBOROVÁ (PRAMEN),Free,49.591787805,13.103896111,PBOX,HOV,TÁBOROVÁ,PRAMEN
4496323,ParcelBox,True,2025-05-04T13:54:14.987,PBOX NMN Nový Malín (CBA),Free,49.9461825,17.013261888,PBOX,NMN,Nový Malín,CBA
4496332,ParcelBox,True,2025-05-03T17:34:17.56,PBOX OST Jugoslávská (LIDL),Free,49.804291111,18.243511388,PBOX,OST,Jugoslávská,LIDL
4496486,ParcelBox,True,2025-05-01T02:35:28.467,PBOX PRG Na břev. pláni (MASANTA),Free,50.074771694,14.325450805,PBOX,PRG,Na břev. pláni,MASANTA
4496641,ParcelBox,True,2025-05-04T14:54:16.13,PBOX ZLN Ke Křibům (CBA),Free,49.201323888,17.6551575,PBOX,ZLN,Ke Křibům,CBA
4496643,ParcelBox,True,2025-05-03T12:14:21.773,PBOX HUN E. Světlíka (HRUŠK378),Free,49.313126111,17.469970611,PBOX,HUN,E. Světlíka,HRUŠK378
