id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4441859,AlzaBox,False,2025-04-28T21:20:51.793,ABOX LBN Přemyslova (zastávka),Unknown,50.16909,14.056826
4441860,AlzaBox,False,2025-04-28T21:20:51.83,ABOX KOL Benešova (Kaufland),Unknown,50.021465,15.184642
4441862,AlzaBox,False,2025-04-28T21:20:51.89,ABOX JBN U Kostela (Kaufland),Unknown,50.739014,15.168783
4441863,AlzaBox,False,2025-04-28T21:20:51.943,ABOX TRU Horská (Kaufland),Unknown,50.58328,15.890543
4441864,AlzaBox,False,2025-04-28T21:20:51.973,ABOX KTH Ortenova (Kaufland),Unknown,49.96098,15.283389
4441869,AlzaBox,False,2025-04-28T21:20:52.137,ABOX HAN Hlavní (Penny),Unknown,50.076454,16.93169
4441870,AlzaBox,False,2025-04-28T21:20:52.203,ABOX LAN Husova (Penny),Unknown,49.909344,16.611233
4441872,AlzaBox,False,2025-04-28T21:20:52.27,ABOX PLA Hegerova (Penny),Unknown,49.718575,16.27636
4441874,AlzaBox,False,2025-04-28T21:20:52.34,ABOX LNP Pivovarská (Penny),Unknown,50.532875,15.370529
4441875,AlzaBox,False,2025-04-28T21:20:52.35,ABOX PBY Dukelská (Penny),Unknown,50.22937,13.40915
4441878,AlzaBox,False,2025-04-28T21:20:52.5,ABOX HBD U Cihláře (Penny),Unknown,49.618153,15.575457
4441880,AlzaBox,False,2025-04-28T21:20:52.567,ABOX PRG Na Slupi (Lidl),Unknown,50.066307,14.422695
4454178,AlzaBox,False,2025-04-28T21:20:52.643,ABOX MTB Svitavská (Kaufland),Unknown,49.75645,16.645369
4454179,AlzaBox,False,2025-04-28T21:20:52.697,ABOX PRG Podolské nábř. (Parkoviš),Unknown,50.06118,14.419069
4454181,AlzaBox,False,2025-04-28T21:20:52.763,ABOX UVL Škvorecká (Billa),Unknown,50.06703,14.736226
4454183,AlzaBox,False,2025-04-28T21:20:52.823,ABOX HDO Brunšov,Unknown,49.856754,14.402051
4454184,AlzaBox,False,2025-04-28T21:20:52.833,ABOX JBN Jitřní (CBA),Unknown,50.727623,15.182363
4454187,AlzaBox,False,2025-04-28T21:20:52.957,ABOX RLE Náměstí (Coop),Unknown,50.303207,15.169319
4454191,AlzaBox,False,2025-04-28T21:20:53.083,ABOX KSL 9. května (Coop),Unknown,50.184505,14.961227
4454193,AlzaBox,False,2025-04-28T21:20:53.173,ABOX PRG Vinohradská (Vinice),Unknown,50.07737,14.487615
