id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
917,4309735,ParcelBox,PBOX BHD Tyršova (Potravin),50.157612805,14.185896111,PBOX,BHD,Tyršova,Potravin,"""50.157612805,14.185896111"",","Tyršova 647/32, 273 43 Buštěhrad, Czechia",23,Tyršova,647/32,27343,Buštěhrad
1105,4364193,ParcelBox,PBOX BHM 1. máje (LED21),49.903358305,18.379743111,PBOX,BHM,1. máje,LED21,"""49.903358305,18.379743111"",","1. máje 163, Skřečoň, 735 31 Bohumín-Bohumín 3, Czechia",24,1. máje,163,73531,Bohumín-Bohumín 3
1013,4334731,ParcelBox,PBOX BHM Bezručova (Barvy),49.892834194,18.361458888,PBOX,BHM,Bezručova,Barvy,"""49.892834194,18.361458888"",","Bezručova 1084, 735 81 Bohumín-Nový Bohumín, Czechia",25,Bezručova,1084,73581,Bohumín-Nový Bohumín
880,4304402,ParcelBox,PBOX BHM Čáslavská (Apollo),49.9039725,18.353351388,PBOX,BHM,Čáslavská,Apollo,"""49.9039725,18.353351388"",","Čáslavská 243, 735 81 Bohumín-Bohumín 1, Czechia",26,Čáslavská,243,73581,Bohumín-Bohumín 1
193,4496077,ParcelBox,PBOX BHM Okružní (HRUŠKA),49.9020775,18.350886111,PBOX,BHM,Okružní,HRUŠKA,"""49.9020775,18.350886111"",","Okružní 1164, 735 81 Bohumín 1, Czechia",27,Okružní,1164,73581,Bohumín 1
1487,4563857,ParcelBox,PBOX BHT Prostějovská (Obec),49.448438305,17.166100611,PBOX,BHT,Prostějovská,Obec,"""49.448438305,17.166100611"",","Bedihošť, 798 21 Bedihošť, Czechia",28,Bedihošť,,79821,Bedihošť
3622,4719863,ParcelBox,PBOX BHV náměstí Míru (Coop),50.150875805,13.044766111,PBOX,BHV,náměstí Míru,Coop,"""50.150875805,13.044766111"",","nám. Míru 337, 364 71 Bochov, Czechia",29,nám. Míru,337,36471,Bochov
191,4495764,ParcelBox,PBOX BIA 5.května (Automyčk),50.544986111,13.769185305,PBOX,BIA,5.května,Automyčk,"""50.544986111,13.769185305"",","5. května 346, 418 01 Bílina-Bílina 1, Czechia",30,5. května,346,41801,Bílina-Bílina 1
322,4539182,ParcelBox,PBOX BIA Aléská (Autodíly),50.5420025,13.776649388,PBOX,BIA,Aléská,Autodíly,"""50.5420025,13.776649388"",","Aléská 269, Pražské Předměstí, 418 01 Bílina-Bílina 1, Czechia",31,Aléská,269,41801,Bílina-Bílina 1
1490,4563868,ParcelBox,PBOX BIV Trávníky (ZEPO),49.418719194,16.5863925,PBOX,BIV,Trávníky,ZEPO,"""49.418719194,16.5863925"",","Trávníky 136, 679 21 Bořitov-Černá Hora, Czechia",32,Trávníky,136,67921,Bořitov-Černá Hora
74,4474587,ParcelBox,PBOX BJE Mánesova (OD TIS),49.03706,17.810296888,PBOX,BJE,Mánesova,OD TIS,"""49.03706,17.810296888"",","Mánesova 954, 687 71 Bojkovice, Czechia",33,Mánesova,954,68771,Bojkovice
1062,4352590,ParcelBox,PBOX BJZ B. Němcové (Truckcen),50.282789194,14.8227975,PBOX,BJZ,B. Němcové,Truckcen,"""50.282789194,14.8227975"",","B. Němcové 656, 294 71 Benátky nad Jizerou-Benátky nad Jizerou II, Czechia",34,B. Němcové,656,29471,Benátky nad Jizerou-Benátky nad Jizerou II
356,4540742,ParcelBox,PBOX BKY Bukovany (Joil ČS),49.824175,14.627895611,PBOX,BKY,Bukovany,Joil ČS,"""49.824175,14.627895611"",","Bukovany 183, 257 41 Bukovany, Czechia",35,Bukovany,183,25741,Bukovany
