ulice,cislo,psc,mesto
Sedláčkova,2557/4,62800,Brno-Brno-Líšeň
Spáčilova,1109/15,61800,Brno-Brno-Černovice
Sportovní,559,60200,Brno-Brno-Královo Pole
Stará osada,,61500,Brno-Brno-Židenice
Stránského,3033,61600,Brno-Žabovřesky
Sokolnická,73/1,62000,Brno-Tuřany
Svatopetrská,672/26,61700,Brno-jih
Táborská,4356/224,61500,Brno-Brno-Židenice
Tilhonova 1218/28/627,00,62700,Slatina
Tuřanka,1554,62700,Slatina
U Červeného mlýna,1,61200,Brno-Královo Pole
U Dálnice,777,66442,Modřice
U Leskavy,10,62500,Brno-Starý Lískovec
U Pošty,402/14,62500,Brno-Starý Lískovec
U Sokolovny,396,63500,Brno-Bystrc
Úvoz,447/120,60200,Brno-Brno-střed
Veslařská,549/52,63700,Brno-Brno-Jundrov
Vídeňská,291,63900,Brno-střed
Viniční,3067,61500,Brno-Židenice
Vodní,264/17,60300,Brno-střed-Staré Brno
Výstaviště,405/1,60300,Brno-st��ed
Bešůvka,785/3,64100,Brno-Žebětín
Zikova,1,62800,Brno-Líšeň
Boleslavská,1901/1901,25001,Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1
Družstevní,422,25751,Bystřice-Bystřice u Benešova
Nábřeží,512,73944,Brušperk
Sportovců,0,27351,Braškov-Unhošť
Nad Vdovečkem,1123,38801,Blatná
náměstí J. A. Komenského,53,38801,Blatná
Butoves,63,50601,Butoves
Družstevní,262/25,58851,Batelov
nám. Míru,535/41,58851,Batelov
Boršice u Blatnice,307,68763,Boršice u Blatnice
Cihelní,1345/2,79201,Bruntál-Bruntál 1
Dolní,1566/2,79201,Bruntál-Bruntál 1
Nádražní,1443/3,79201,Bruntál-Bruntál 1
Borová,100,56982,Borová
789,61,,Bludov
5. května,653,33601,Blovice
Jirotova,375,33601,Blovice
Tyršova,270,33601,Blovice
Bystřec,333,56154,Bystřec
U Vodojemu,991,39165,Bechyně
Březová,50,76315,Březová
Bezno,311,29429,Bezno
Chaloupky,26,26762,Chaloupky
Krále Jiřího,207/207,28201,Český Brod
Žižkova,1413,28201,Český Brod
Krčínova,1086,37011,České Budějovice-České Budějovice 2
České Vrbné,2376,37011,České Budějovice-České Budějovice 2
Dlouhá,889/35,37011,České Budějovice-České Budějovice 11
Dobrovodská,33,37006,České Budějovice-České Budějovice 6
Františka Antonína Gerstnera,5/1,37001,České Budějovice-České Budějovice 1
Hradební,362/10,37001,České Budějovice-České Budějovice 1
Hrdějovice,396,37361,Hrdějovice
Husova tř.,523,37005,České Budějovice-České Budějovice 5
Husova tř.,523/30,37005,České Budějovice-České Budějovice 5
J. Boreckého,1661/34,37011,České Budějovice-České Budějovice 5
K. Štěcha,1264/26,37005,České Budějovice-České Budějovice 2
Kaliště,2339,37006,České Budějovice-České Budějovice 6
Kněžskodvorská 370,04,37004,České Budějovice-České Budějovice 4
M. Horákové,1437,37005,České Budějovice-České Budějovice 5
M. Horákové,1364/2,37005,České Budějovice 2
M. Horákové,1657/24,37005,České Budějovice-České Budějovice 5
M. Vydrové,22,37001,České Budějovice 1
Na Zlaté stoce,551/14,37005,České Budějovice-České Budějovice 2
Nádražní,1759,37001,České Budějovice-České Budějovice 1
Okružní,517/10,37001,České Budějovice-České Budějovice 1
Otakarova,1155/65,37001,České Budějovice-České Budějovice 3
Písecká,1459/42,37011,České Budějovice-České Budějovice 2
Pražská tř.,2006/137,37010,České Budějovice-České Budějovice 10
Pražská tř.,2176/65,37004,České Budějovice-��eské Budějovice 4
Pražská tř.,2540,37004,České Budějovice 4
Pražská tř.,1247/24,37004,České Budějovice 4
Rudolfovská tř.,214/72,37001,České Budějovice-České Budějovice 4
Suchomelská,2251,37004,České Budějovice-České Budějovice 4
