ulice,cislo,psc,mesto
Borovského,169/103,73401,Karviná-Karviná 4
Einsteinova,2867/4,73301,Karviná-Karviná 1
Fryštátská,235/77,73301,Karviná-Karviná 1
Janského,2458/4,73506,Karviná-Karviná 6
Karola Śliwky,147/13,73301,Karviná-Karviná 1
nám. Gagarinovo,5,73401,Karviná-Karviná 4
Sportovní,1797/2,73506,Karviná-Karviná 1
Stavbařů,2203/38,73401,Karviná-Karviná 4
Svatopluka Čecha,733/5,73301,Karviná-Karviná 1
tř. 17. listopadu,23/2,73301,Karviná-Karviná 1
tř. 17. listopadu 883/2a Kóje v OD TESCO,,73401,Karviná-Karviná 4
Ciolkovského,762/30B,73401,Karviná-Karviná 4
Žižkova,221/52,73301,Karviná-Karviná 4
Kájovská,22,38221,Kájov
Moravská,999,56169,Králíky
Autobusové nádraží,,74727,Kobeřice
Mikuláše Střely,223,58266,Krucemburk
Komenského,228,34506,Kdyně
Nádražní,747,34506,Kdyně
Kasejovice,267,33544,Kasejovice
U Sklepů,90/11,69701,Kyjov-Kyjov 1
28. října,166,27309,Kladno-Kladno 7
Americká 2777 uvnitř obchodu,,27201,Kladno-Kladno 1
Americká,2445,27201,Kladno-Kladno 1
Braunova,75,27201,Kladno-Kladno 1
Libušina,3/1009,27203,Kladno 3
nám. Sítná,3127,27201,Kladno-Kladno 1
Pařížská,1,27201,Kladno 1
Smečenská,1081,27204,Kladno-Kladno 4
Kladno,1,27201,Kladno
Pod Svahem,1731,27309,Kladno-Kladno 7
Okrsek,4,27201,Kladno-Kladno 1
Vančurova,1548,27201,Kladno-Kladno 1
Vítězslava Nezvala,756,27201,Kladno-Kladno 4
Vrchlického,2363,27201,Kladno-Kladno 1
Náměstí,71,74283,Klimkovice
Žatecká,866,33141,Kralovice
Proskovická,210,73924,Krmelín
ul. 5. května,689,33901,Klatovy-Klatovy 1
Domažlická,909,33901,Klatovy-Klatovy 1
K Letišti,385,33901,Klatovy-Klatovy II
Plánická,626,33901,Klatovy-Klatovy IV
Puškinova,135,33901,Klatovy-Klatovy 1
Sídl. U Pošty,683,33901,Klatovy-Klatovy III
Benešovská,207,25168,Kamenice
Pražská,400,25168,Kamenice
Krauzovna,81,27741,Kly
Buzulucká,26762,26762,Komárov-Komárov u Hořovic
Pod koupalištěm,901,29306,Kosmonosy
Hanácké nám.,475/3,76701,Kroměříž-Kroměříž 1
Slovanské nám.,3283/5,76701,Kroměříž-Kroměříž 1
Spáčilova,569,76701,Kroměříž-Kroměříž 1
Tovačovského,4423,76701,Kroměříž-Kroměříž 1
Na Hrázi,718/1A,76701,Kroměříž-Kroměříž 1
Vodní,79/21,76701,Kroměříž-Kroměříž 1
Přemyslova,211,27713,Kostelec nad Labem
Náměstí,19,28933,Křinec
Vrbová,59/59,25169,Kunice-Velké Popovice
Tyršova,975,79841,Kostelec na Hané
Střížovická,220,37862,Kunžak
Kunín,189,74253,Kunín
Budovatelská,487,43151,Klášterec nad Ohří-Klášterec nad Ohří 1
Chomutovská,210,43151,Klášterec nad Ohří-Klášterec nad Ohří 1
J. A. Komenského,697,43151,Klášterec nad Ohří-Klášterec nad Ohří 1
Polní,782,43151,Klášterec nad Ohří-Klášterec nad Ohří 1
Pelhřimovská,759,39470,Kamenice nad Lipou
Za Kult. domem,640,39470,Kamenice nad Lipou
Přemyslova,134/114,27801,Kralupy nad Vltavou-Kralupy nad Vltavou 1
Chelčického,688,27801,Kralupy nad Vltavou-Kralupy nad Vltavou 1
Mostní,934,27801,Kralupy nad Vltavou-Kralupy nad Vltavou 1
U Dýhárny,1162,27801,Kralupy nad Vltavou-Kralupy nad Vltavou 1
Veltruská,815,27801,Kralupy nad Vltavou 1
U Sokolovny,277,75605,Karolinka
Palackého,317,34543,Koloveč
Ovčárecká,509,28002,Kolín-Kolín 2
Kostnická,1,28002,Kolín-Kolín 2
Pražská,302,28002,Kolín-Kolín II
Pražská,1005/1005,28002,Kolín-Kolín II
V Kasárnách,1019,28002,Kolín-Kolín 2
V Opletkách,585,28002,Kolín-Kolín 2
Tyršova,392,79852,Konice
Kosoř,,25226,Kosoř-Třebotov
Por. Hoši,411/16,74711,Kozmice-Kozmice u Hlučína
Míru,756,38241,Kaplice-Kaplice 1
Na Vyhlídce,924/924,38241,Kaplice-Kaplice 1
Zahradní,636,38241,Kaplice-Kaplice 1
Kunčice pod Ondřejníkem,70,73913,Kunčice pod Ondřejníkem
Kostomlaty pod Řípem,160,41301,Kostomlaty pod Řípem
Slámova,925/2,74721,Kravaře-Kravaře u Hlučína
Opavská,954/61,74721,Kravaře-Kravaře u Hlučína
nám. Míru,3,26701,Králův Dvůr-Králův Dvůr u Berouna
Plzeňská,153,26701,Králův Dvůr-Králův Dvůr u Berouna
Pod Hájem,319,26701,Králův Dvůr-Králův Dvůr u Berouna
Albrechtická,1787/121,79401,Krnov-Krnov 1
nám. Minoritů,30,79401,Krnov-Krnov 1
Smetanův okruh,338,79401,Krnov-Krnov 1
Krouna,426,53943,Krouna
"9 9""N",,41742,Mělník-Krupka 1
Školní,430,43981,Kryry
Náměstí,274,38203,Křemže
Kašava,175,76319,Kašava
Československé armády,38,35801,Kraslice
5. května,318/2,35801,Kraslice
Přilehlá,1731,35801,Kraslice
Míru,692,37821,Kardašova Řečice
Masarykova,96/34,28401,Kutná Hora-Kutná Hora 1
Waldhauserova,805,28401,Kutná Hora 1
Vojtěšská,390,28401,Kutná Hora-Kutná Hora 1
Za Obloukem,218,41723,Košťany-Košťany u Teplic
Červená cesta,317,68604,Kunovice
Kostelec,165,58861,Kostelec
Legionářská,23,66434,Kuřim
Legionářská,1265/70,66434,Kuřim
Tyršova,2048/43,66434,Kuřim
nám. Krále Jiřího,361,67972,Kunštát na Moravě
Dolní Kamenná,1004/7,36005,Karlovy Vary-Karlovy Vary 5
Dolní Kamenná,1016/5,36005,Karlovy Vary-Karlovy Vary 5
Tesco,,36006,Karlovy Vary-Karlovy Vary 6
Elektrosvit,,36004,Karlovy Vary-Karlovy Vary 4
Nerudova,99,36017,Karlovy Vary-Karlovy Vary 17
Nové domky,655/1,36017,Karlovy Vary-Karlovy Vary 17
Obchodní,33,36211,Jenišov-Karlovy Vary 1
Třeboňská,1002/91,36005,Karlovy Vary-Karlovy Vary 5
Stará Kysibelská,619/30,36001,Karlovy Vary-Karlovy Vary 1
Železniční,1006/15,36005,Karlovy Vary-Karlovy Vary 5
Čsl. armády,254/10,74221,Kopřivnice-Kopřivnice 1
Husova,1119/3,74221,Kopřivnice-Kopřivnice 1
Javorová,769/7A,74221,Kopřivnice-Kopřivnice 1
Školní,157/12,74221,Kopřivnice-Kopřivnice 1
Štefánikova,36/49,74221,Kopřivnice-Kopřivnice 1
Štefánikova,1408/18e,74221,Kopřivnice-Kopřivnice 1
Záhumenní,1151/2,74221,Kopřivnice-Kopřivnice 1
Křiváček,17,25167,Řehenice-Pyšely
A. Dohnala,305,76821,Kvasice
Křivoklát,2,27023,Křivoklát
Nádražní,475,37381,Kamenný Újezd
Na Spáleništi,72,27301,Kamenné Žehrovice
Na Staré silnici,166,25268,Kněževes-Středokluky
Na Lužci,703,53341,Lázně Bohdaneč
nám. Svobody,17,50723,Libáň
Uherskobrodská,1018,76326,Luhačovice
Lichnov,90,74275,Lichnov
Truhlářská,665/665,37311,Ledenice
Českobratrská,1062/4a,67961,Letovice
Masarykovo nám.,5,67961,Letovice
Motel TAXI,,74714,Ludgeřovice
hřiště,,74714,Ludgeřovice
Lípa,297,58257,Lípa
Sídl. SNP,372,38402,Lhenice
Broumovská,843/11,46006,Liberec 6
Doubská,1207,46006,Liberec
Gagarinova,1167/59,46006,Liberec
Horská,1306,46001,Liberec
Ježkova,1169/3,46006,Liberec
Gen. Svobody,137/61,46001,Liberec
Londýnská,661,46001,Liberec
Mařanova,387,46312,Liberec
nám. Míru,175/1,46014,Liberec
U Nisy,843/13,46007,Liberec
Olbrachtova,37,46015,Liberec
Ostašovská,576/29,46001,Liberec
Palachova,1404/2,46001,Liberec
Puškinova,49,46312,Liberec
Rychtářská,390,46014,Liberec
Hlávkova,1088,46014,Liberec
Sportovní,522,46312,Liberec
Švermova,352/24,46010,Liberec
náměstí Tržní,1385/8,46001,Liberec
Vratislavická,1012,46006,Liberec
Zhořelecká,414/19,46001,Liberec
Libouchec,271,40335,Libouchec
Jirsíkova,430/43,37372,Lišov-Lišov u Českých Budějovic
Nová,635,37372,Lišov-Lišov u Českých Budějovic
Lukavice,112,56151,Lukavice
Seifertova,387,56301,Lanškroun
Nádražní,583,35733,Loket
Dolní,850/850,58832,Brtnice
Pod Kaštany,103,76317,Lukov-Lukov u Zlína
Lipová-lázně,712,79061,Lipová-lázně
Českolipská,917/6,41201,Litoměřice-Litoměřice 1
Nezvalova,1829/11,41201,Litoměřice-Předměstí
Komenského,2024,41201,Litoměřice-Litoměřice 1
Stránského,1908/33,41201,Litoměřice-Předměstí
Nedošín,167/167,57001,Litomyšl
Neffova,299,75131,Lipník nad Bečvou
Zahradní,1325,75131,Lipník nad Bečvou
Sídliště,1442/23,28922,Lysá nad Labem
Lučany nad Nisou,125,46871,Lučany nad Nisou
Palackého,648,51251,Lomnice nad Popelkou
Sázavská,174,58401,Ledeč nad Sázavou
Lipovec,318,67915,Lipovec
Loučovice,280,38276,Loučovice
Postoloprtská,2664/2664,44001,Louny-Louny 1
Přemyslovců,2654,44001,Louny-Louny 1
Říční,756,44001,Louny-Louny 1
Dlouhá,83/4,41002,Lovosice-Lovosice 2
Osvoboditelů,1068/18,41002,Lovosice-Lovosice 2
Smetanova,966/1,41002,Lovosice-Lovosice 2
náměstí J. Žižky,7,25706,Louňovice pod Blaníkem
Lhota pod Libčany,50,50327,Lhota pod Libčany
Moravičanská,228/17,78983,Loštice
Mírová,865,56151,Letohrad
Školní,247,29442,Luštěnice
Dukelská,435/13,78401,Litovel
Náměstí nám. Přemysla Otakara,793/7,78401,Litovel
Jana Sigmunda,87,78349,Lutín
Hamerská,159,43542,Litvínov-Litvínov 8
Nám. Př. Otakara,778,78401,Litovel
Podkrušnohorská,2171,43601,Litvínov-Litvínov 1
Obchodní centrum,,25229,Lety-Dobřichovice
Ludkovice,81,76341,Ludkovice
Československé armády,823,43511,Lom-Lom u Mostu 1
Nymburska,95/95,28937,Loučeň
nám. Palackého,32,67923,Lomnice-Lomnice u Tišnova
Riegrova,123,41117,Libochovice
Chýnovská,683,25266,Libčice nad Vltavou
Dukelská,394,53854,Luže
Košumberk,68,53854,Luže
Lažánky,63,66471,Lažánky
U Cukrovaru,206,25063,Mratín
1. máje,118,67602,Moravské Budějovice-Moravské Budějovice 2
Ondřejovská,700,25164,Mnichovice
Šibenička,808,25164,Mnichovice
Drahkov,28,41501,Modlany-Teplice 1
Hlavní,191,25206,Měchenice-Davle
Písecké předm.,1393,39901,Písečné-Milevsko 1
Pod Stadionem,1391/3,39901,Milevsko-Milevsko 1
Mcely,27,28936,Mcely
nám. Tyrše a Fügnera,194/1,78985,Mohelnice
Olomoucká,333/50,78985,Mohelnice
Pionýrů,1151/3,78985,Mohelnice
QWH8+H3 Hlinsko,,,Czechia
Armádní,792,28924,Milovice-Milovice nad Labem 3
Armádní,192,28924,Milovice-Milovice nad Labem 3
Tiskárenská,1275,67201,Moravský Krumlov
Mokrovraty,138,26203,Mokrovraty
Dukelská,222/17,29301,Mladá Boleslav-Mladá Boleslav II
Havlíčkova,1444,29301,Mladá Boleslav-Mladá Boleslav II
Krátká,1301,29301,Mladá Boleslav-Mladá Boleslav 1
J. Palacha,1026,29301,Mladá Boleslav-Mladá Boleslav II
Jičínská,1329,29301,Mladá Boleslav-Mladá Boleslav 1
Jičínská,1025,29301,Mladá Boleslav-Mladá Boleslav 1
Jičínská,1486,29301,Mladá Boleslav-Mladá Boleslav 1
Mladá Boleslav,1436,29301,Mladá Boleslav
Na Radouči,1120,29301,Mladá Boleslav-Mladá Boleslav II
Nádražní,311,29301,Mladá Boleslav-Mladá Boleslav 1
Mikulášovice,1007,40779,Mikulášovice
Českolipská,3332,27601,Mělník-Mělník 1
Rousovice,,27601,Mělník-Mělník 1
Mladoboleslavská,3339,27601,Mělník-Mělník 1
Pražská 4296 lok.18 unut,8,27601,Mělník-Mělník 1
Vodárenská,219,27601,Mělník-Mělník 1
Vodárenská,3653,27601,Mělník-Mělník 1
aut.st.,,47124,Mimoň
Sídl. pod Ralskem,580,47124,Mimoň
Jiráskova,600,29501,Mnichovo Hradiště
Studentská 1443 lok.18 unut,8,29501,Mnichovo Hradiště
Chebská,185/23,35301,Mariánské Lázně-Mariánské Lázně 1
Úšovice,172,35301,Mariánské Lázně-Mari��nské Lázně 1
Měnín,364,66457,Měnín
Školní,278/5,39801,Mirotice
Hlavní,280/22,66448,Moravany u Brna
Měcholupy,71,43931,Měcholupy
5. května,557,25210,Mníšek pod Brdy
Pražská,1594,25210,Mníšek pod Brdy
Sportovní,244,69685,Moravský Písek
Nádražní,105,54234,Malé Svatoňovice
Albrechtická,1075/26,43401,Most-Most 1
tř. Budovatelů,1874/15,43401,Most 1
Jana Opletala,1684/28,43401,Most-Most 1
B. Martinů,233/12,43401,Most-Most 1
Mostecká,3,43401,Most-Most 1
Táboritů,1653,43401,Most-Most 1
Tyršova,3460,43401,Most-Most 1
V. Nejedlého,1186,43401,Most-Most 1
Velebudická,3303/1a,43401,Most-Most 1
Velebudická,3270,43401,Most-Most 1
Višňová,1011,43401,Most-Most 1
Městečko Trnávka,62,56941,Městečko Trnávka
Jiráskova,1352/110,57101,Moravská Třebová-Moravská Třebová 1
Malý Újezd,95,27731,Malý Újezd
Mosty u Jablunkova,800,73998,Mosty u Jablunkova
Do Chobotu,117,25162,Mukařov
Kutnohorská,406,25162,Mukařov
Pražská,230,25162,Mukařov
28. října,985/14,69201,Mikulov-Mikulov na Moravě
Běloveská,944,54701,Náchod-Náchod 1
Růžová,278,54701,Náchod-Náchod 1
Revoluční,924,33023,Nýřany
Stará čtvrť,178,33023,Nýřany
Načeradec,340,25708,Načeradec
Nedvědice,391,59262,Nedvědice
Nedakonice,400,68738,Nedakonice
P. Jilemnického,398,57201,Polička
Brodská,654,26101,Příbram-Příbram 1
Čapkova,887,25263,Roztoky-Roztoky u Prahy
Čejetice,157,38601,Čejetice
Červená Řečice,91,39446,Červená Řečice
Dnešice,,33443,Dnešice
Dolní Žandov,291,35493,Dolní Žandov
Gen. Hlaďo,1849/25,74101,Nový Jičín-Nový Jičín 1
Hazlov,447,35132,Hazlov
Hodslavice,22,74271,Hodslavice
Hornická,1570,41301,Roudnice nad Labem
Hrádek,18,34201,Hrádek
Husova,2642,44001,Louny-Louny 1
Chmelova,1173,27801,Kralupy nad Vltavou-Kralupy nad Vltavou 1
Jabloňová,1142,25242,Jesenice-Jesenice u Prahy
Jiráskova,297,43141,Údlice
Pavlišovská,2294/10,19300,Praha 20
Kolínská,903/903,28504,Uhlířské Janovice
Koněvova,280/103,71300,Slezská Ostrava-Heřmanice
Harantova,518,33901,Klatovy-Klatovy 1
K Zelené Louce,30,30100,Plzeň 3
Lhotkova,683,39494,Černovice-Černovice u Tábora
M. Koněva,939/33,28802,Nymburk-Nymburk 2
M. Majerové,751/6,67401,Třebíč-Třebíč 1
Maltézské nám.,232/232,38731,Radomyšl
Praha,11,14900,Praha
Čapkova,787,35735,Chodov-Chodov u Karlových Var 1
Mládežnická,1596,43111,Jirkov-Jirkov 1
Mochovská,1750,25088,Čelákovice
Mrákov,106,34501,Mrákov
Na Sídlišti,263,34953,Bezdružice
Nákupní,389,10200,Praha-Štěrboholy
nám. Míru,338,43601,Litvínov-Litvínov 1
Kpt. Jaroše,37,41712,Proboštov-Proboštov u Teplic
Pustiměř,166,68321,Pustiměř
Ostravice,62,73914,Ostravice
Cihelní,105/22,74801,Hlučín
Svitávka,,67932,Svitávka
Postřekov,179,34535,Postřekov
Pražská,212,28903,Městec Králové
Okružní,,25801,Vlašim
Příborská,2270,73801,Frýdek-Místek 1
Riegrova,74101,74101,Nový Jičín-Nový Jičín 1
Zastávecká,1030,66501,Rosice-Rosice u Brna
Dubice,65,40002,Řehlovice-Ústí nad Labem 2
Sedlecká,758/7,36010,Karlovy Vary-Karlovy Vary 10
Sportovní,311,25261,Jeneč
Sportovní,3,74705,Opava-Malé Hoštice
Suchdolská,1104,25262,Horoměřice
Žďárská,187,34701,Halže-Tachov 1
V Korytech,157,10600,Praha 10
V. Nezvala,88/18,67401,Třebíč-Třebíč 1
Velemín,2,41131,Velemín
Věšínova,892/4,70030,Ostrava-jih
Vigantice,196,75661,Vigantice
Vinohradská,1302/41,74801,Hlučín
Zabrušany,82,41771,Zabrušany
Žeravice,40,69647,Žeravice
Okružní,808,25081,Nehvizdy
Sadová,1050/1050,68751,Nivnice
Na Kapli,1558,76361,Napajedla
Na Malině,1380,76361,Napajedla
Bohuslava Martinů,1885/2,74101,Nový Jičín-Nový Jičín 1
Máchova,28,74101,Nový Jičín-Nový Jičín 1
Masarykovo nám.,7/7,74101,Nový Jičín-Nový Jičín 1
Purkyňova,1529/3,74101,Nový Jičín-Nový Jičín 1
Vančurova,702/38,74101,Nový Jičín-Nový Jičín 1
Obecní,75,38411,Netolice
Nové Město na Moravě,,59231,Nové Město na Moravě
Dukelská,662,54901,Nové Město nad Metují-Nové Město nad Metují 1
Nad Stadionem,1301,54901,Nov�� Město nad Metují-Nové Město nad Metují 1
Pod Lipami,220,54901,Nové Město nad Metují-Nové Město nad Metují 1
Nový Malín,429,78803,Nový Malín
Švermova,953,46365,Nové Město pod Smrkem
Třebíčská,973,67571,Náměšť nad Oslavou
Legerovo nám.,28,28002,Nová Ves I-Kolín 2
Husitská,1922,50901,Nová Paka
U Trati,282,33503,Nepomuk-Nepomuk 3
Chodovská,241,36225,Nová Role
Havlíčkova,290,34022,Nýrsko
Klatovská,662,34022,Nýrsko
Revoluční,158,35734,Nové Sedlo-Nové Sedlo u Lokte
1. máje,816,27101,Nové Strašecí
Nové Strašecí,1170,27101,Nové Strašecí
Městečko,478,69164,Nosislav
Mládežnická,422,27711,Neratovice
Na Výsluní,1368,27711,Neratovice
Čechova,479,37842,Nová Včelnice
Muzejní,46,25744,Netvořice
Pražská,307,25744,Netvořice
Nová Ves pod Pleší,123,26204,Nová Ves pod Pleší
Pražská,310,25756,Neveklov
K Letišti,2218,28802,Nymburk-Nymburk 2
Mládežnická,2086,28802,Nymburk-Nymburk 2
Sadová,2167,28802,Nymburk 2
Za Žoskou,1040,28802,Nymburk-Nymburk 2
Nezvěstice,33,33204,Nezvěstice
Veveří,210,66481,Ostrovačice
Osice,36,50326,Osice
Západní,243,28002,Ovčáry-Kolín 2
tř. Osvobození,99/15A,74235,Odry
Károvská,128,25245,Ohrobec-Zvole u Prahy
Oskava,14,78801,Oskava
Hlavní,1157,76502,Otrokovice-Otrokovice 2
J. Žižky,1942,76502,Otrokovice-Otrokovice 2
Ml. stavbařů,1811,76502,Otrokovice-Otrokovice 2
Napajedelská,1809,76502,Otrokovice-Otrokovice 2
tř. Tomáše Bati,1619,76502,Otrokovice-Otrokovice 2
Ke Studánce,1341,73514,Orlová-Orlová 4
Masarykova tř.,795,73514,Orlová-Orlová 4
Okružní,1440,73514,Orlová-Orlová 4
Petřvaldská,953,73511,Orlová-Orlová 1
Školní,861,73514,Orlová-Orlová 4
Žofinská,511,73514,Orlová-Orlová 4
Brněnská,492/45A,77900,Olomouc-Olomouc 9
Čajkovského,591/17,77900,Olomouc-Olomouc 9
Dlouhá,524/28,77900,Olomouc-Olomouc 9
Dolní hejčínská,30,77200,Olomouc-Olomouc 9
Holečkova,193/10,77900,Olomouc-Olomouc 9
Chválkovická-Epava,,77900,Olomouc-Olomouc 9
Kavaléristů,10,77900,Olomouc-Olomouc 9
Lazecká,49/33,77900,Olomouc-Olomouc 9
Na Tabulovém vrchu,4,77900,Olomouc-Olomouc 9
Náves Svobody,651/42A,77900,Olomouc-Olomouc 9
Nedvědova,389,77900,Olomouc-Olomouc 9
Zikova,619/3,77900,Olomouc-Olomouc 9
Olomoucká,791,78353,Velká Bystřice
Pasteurova,905/10,77900,Olomouc-Olomouc 9
Pražská,255/41,77900,Olomouc-Olomouc 9
Nové Sady,52/52,77900,Olomouc-Olomouc 9
Aut.nádraží podchod,,77900,Olomouc-Olomouc 9
Sokolovská,80/4,77900,Olomouc-Olomouc 9
Třída Jiřího Pelikána,1399/2,77900,Olomouc-Olomouc 9
Olbramovice Ves,50,25901,Olbramovice-Votice
Obecnice,159,26221,Obecnice
Hradecká,497/497,53345,Opatovice nad Labem
Obchodní,1446,36301,Ostrov-Ostrov nad Ohří
Nádražní 664,12,66412,Oslavany
Starohorská,66412,66412,Oslavany
Hlavní,12,75356,Opatovice-Opatovice u Hranic
U Cukrovaru,1454/13,74705,Opava-Opava 5
Jana Pitry,775/775,51773,Opočno
Bílovecká,1009,74706,Opava-Opava 6
Bílovecká,758/99,74706,Opava-Opava 6
Krnovská,566/165,74707,Opava-Opava 1
Lepařova,8/2906,74601,Opava-Opava 1
Otická,2469,74601,Opava-Opava 1
Ratibořská,45/1475,74705,Opava-Opava 5
Antonína Sovy,1251/30,74705,Opava-Opava 5
Ruská 57-49,,74706,Opava-Opava 6
Sadová,121/4,74601,Opava-Opava 1
U Fortny,10,74601,Opava-Opava 1
Vančurova,2946/26A,74601,Opava-Opava 1
Zámecký okruh,2966/21,74601,Opava-Opava 1
Opařany,84,39161,Opařany
Ostravice,731,73914,Ostravice
Tyršova,683,41705,Osek-Osek u Duchcova
28. října,1512/123,70200,Moravská Ostrava a Přívoz
Hulváky,,70900,Ostrava-Mariánské Hory a Hulváky
Ahepjukova,2859/8,70200,Moravská Ostrava a Přívoz
Čapkova,434/38,71600,Ostrava-Radvanice a Bartovice
Čkalovova,6144/18a,70800,Ostrava-Poruba
nám.Sloven.národn. povstání,4368/1,70030,Ostrava-Ostrava-jih
Gen. Sochora,1379/6,70800,Ostrava-Poruba
Hlavní tř.,1196,70800,Ostrava-Poruba
Horní,300/77,70030,Ostrava-jih
Horní,1457/59,70030,Ostrava-jih-Hrabůvka
Horní,1046,70030,Ostrava-Ostrava-jih
Horní,288/67,70030,Ostrava-jih-Dubina
Hornopolní,3308,70200,Moravská Ostrava a Přívoz
Josefa Brabce,2872/37,70200,Moravská Ostrava a Přívoz
Hrušovská,2953/15,70200,Moravská Ostrava a Přívoz
Hulvácká,2081/2,70030,Ostrava-jih-Zábřeh
Ibsenova,1167/31,70200,Ostrava-Moravská Ostrava a Přívoz
Jugoslávská,3217/30,70030,Ostrava-Ostrava-jih
K Lávce,1141/1,70200,Ostrava-Moravská Ostrava a Přívoz
K Myslivně,9,70800,Ostrava-Poruba
Karla Svobody,369/5a,72527,Ostrava-Plesná
Plzeňská 2622/lok.18,,70030,Ostrava-Ostrava-jih
Trnkovecká,,71500,Ostrava-Slezská Ostrava
Lužická,590/2,70030,Ostrava-Ostrava-jih
Miroslava Bajera,6040/1,70800,Ostrava-Poruba
Martinovská,6186/15,70800,Ostrava-Poruba
Michálkovická,2169/88,71000,Slezská Ostrava
Místecká,755/280,72000,Ostrava-Hrabová
Na Obecní,446/13,70030,Ostrava-jih-Hrabůvka
Nábř. Svazu Protifaš. bojovníků,457/30,70800,Ostrava-Poruba
Nad Porubkou,2400,70800,Ostrava-Poruba
708,00,,Ostrava-Poruba
Jiřího Trnky,,70200,Ostrava-Moravská Ostrava a Přívoz
Oty Synka,33,70800,Ostrava-Poruba
Patrice Lumumby,2471/7,70030,Ostrava-jih
Pavlouskova,24,70800,Ostrava-Poruba
Petra Křičky,2863,70200,Moravská Ostrava a Přívoz
Plavecká,1636,70030,Ostrava-jih-Hrabůvka
Plzeňská,221/333,72400,Ostrava-Stará Bělá
Poděbradova,3209/58,70200,Moravská Ostrava a Přívoz
Poděbradova,836/42,70200,Moravská Ostrava a Přívoz
Polanecká,3,72100,Ostrava-Svinov
Proskovická,1169/215,72400,Ostrava 24
Prudká,419/13,72528,Ostrava-Hošťálkovice
Výškovická,142,70030,Ostrava-jih
Ruská,1230/121,70300,Ostrava-Vítkovice
Ruská,2887/101,70300,Ostrava-Vítkovice
Sjízdná,1157/1,72100,Ostrava-Svinov
Sokolská tř.,2590,70200,Moravská Ostrava a Přívoz
Spojovací,396,72527,Ostrava-Plesná
Strmá,2041,70900,Ostrava-Mariánské Hory a Hulváky
Studentská,1770/1,70800,Ostrava-Poruba
Škrobálkova,235/56,71800,Ostrava-Slezská Ostrava
Švédská,749/47,71200,Ostrava-Slezská Ostrava
Dr. Martínka,1656/2,70030,Ostrava-jih
U Hrůbků,154,70030,Ostrava-jih
U Nádraží,1155/25,70300,Ostrava-Vítkovice
U Stadiónu,1,70200,Moravská Ostrava a Přívoz
U Studia,67/29,70030,Ostrava-jih
N. Frýda,160/2,70030,Ostrava-jih
Muglinovská,55/91,71200,Slezská Ostrava-Muglinov
Stan.záchr.služby,,70200,Ostrava-Moravská Ostrava a Přívoz
Vítkovická,3083/1,70200,Moravská Ostrava a Přívoz
Výškovická,2614/124,70030,Ostrava-jih
Výškovická,3123/46,70030,Ostrava-Ostrava-jih
Za Ještěrkou,629/1,71700,Ostrava-Radvanice a Bartovice
Závodní,1612/43A,70030,Ostrava-jih-Hrabůvka
443,54,74781,Otice
Jáchymovská,1460,36301,Ostrov-Ostrov nad Ohří
Krušnohorská,1145,36301,Ostrov-Ostrov nad Ohří
Olšany u Prostějova,411,79814,Olšany u Prostějova
Obchodní zóna,253,43111,Otvice-Chomutov 4
Husinecká,1190,38301,Prachatice
Prostřední Bečva,430,75656,Prostřední Bečva
Balbínova,713,26101,Příbram-Příbram 1
Československé armády,142,26101,Příbram-Příbram IV
Evropská,329,26101,Příbram-Příbram 1
Jinecká,319,26101,Příbram-Příbram I
Milínská 134 Obchodní centrum Skalka Příbram,,26101,Příbram-Příbram 1
Rožmitálská,6,26101,Příbram-Příbram 1
Dvořákova,697,74258,Příbor
Místecká,1124,74258,Příbor
Štramberská,1361,74258,Příbor
Příkopy,318,58222,Přibyslav
Hradecká,545,53352,Pardubice II
Husova,87,53003,Pardubice-Pardubice I
Jiřího Potůčka,290,53009,Pardubice VII
Kpt. Bartoše,2777,53002,Pardubice I
Lidmily Malé,656,53012,Pardubice III
Na Spravedlnosti,2106,53002,Pardubice V-Zelené Předměstí
Palackého tř.,2020,53002,Pardubice I-Zelené Předměstí
Poděbradská 295 lok.18 unut,8/g84,53009,Pardubice-Pardubice VII
Pražská,199,53006,Pardubice VI
S. K. Neumanna,2930,53002,Pardubice V
U Josefa,119,53009,Pardubice-Cihelna
Nábř. Závodu Míru,2712,53002,Pardubice I-Zelené Předměstí
Nádražní,390,39501,Pacov
Lipárky,528,39464,Počátky
Podlesí,328,26101,Podlesí
170,,54908,Provodov-Šonov
Ptení,27,79843,Ptení
Hlavní,49,43163,Perštejn
Komenského,260,78969,Postřelmov
Tř. 5. května,708,28911,Pečky
V Kaštánkách,1141,28911,Pečky
Družstevní,1236,39301,Pelhřimov
Pražská,1200,39301,Pelhřimov
Průběžná,2483,39301,Pelhřimov
5. května,343,27308,Pchery-Humny
Palkovice,328,73941,Palkovice
Uhrova,1003,66602,Předklášteří
Poděbradská,4,29001,Písková Lhota-Poděbrady 1
Hegerova,1207/1207,57201,Polička
Starohradská,359,57201,Polička
Pod Větrníkem,22,76326,Pozlovice-Luhačovice
Písková Lhota,103,29431,Písková Lhota
Šneky,,35135,Plesná-Plesná u Chebu
Jiráskovo nám.,655,43942,Postoloprty
Alej Svobody,770/23,32300,Plzeň-Plzeň 1
Americká,2186/47,30100,Plzeň-Plzeň 3
Borská,1045/40,30100,Plzeň 3-Skvrňany
Brněnská,987/31,32300,Plzeň 1-Severní Předměstí
Domažlická,38/216,31800,Plzeň 3-Nová Hospoda
